symbol,lastClose,marketCap,companyName,exchange,c,o,vwap
SEMUF,30.0,585720005.0,SIEM INDUSTRIES INC,OTC,30.0,30.0,30.0
YELP,34.16,2180857450.344631,YELP INC,NYSE,34.16,34.94,34.16
XFABF,7.83,877193413.0,X-FAB SILICON FOUNDRIES SE,OTC,7.83,7.83,7.83
VOYA.PRB,24.421,6970718062.083049,VOYA FINANCIAL INC - VOYA 5.35 PERP,NYSE,24.421,24.65,24.421
THS,20.9,1055450026.948424,TREEHOUSE FOODS INC,NYSE,20.9,20.71,20.9
ITRN,39.35,782812379.0901147,ITURAN LOCATION AND CONTROL,NASDAQ,39.35,40.06,39.35
MESO,11.11,2100835259.0,MESOBLAST LTD- SPON ADR,NASDAQ,11.11,11.0,11.11
AMTM,23.68,5761876056.672772,AMENTUM HOLDINGS INC,NYSE,23.68,23.8,23.68
TWST,38.03,2278610933.899402,TWIST BIOSCIENCE CORP,NASDAQ,38.03,37.56,38.03
PSORF,14.01,6807955870.0,PEARSON PLC,OTC,14.01,14.01,14.01
ZLDSF,30.5125,7489674220.0,ZALANDO SE,OTC,30.5125,30.5125,30.5125
LAND,10.66,382471825.0,GLADSTONE LAND CORP,NASDAQ,10.66,10.57,10.66
TATT,29.82,374795489.13008934,TAT TECHNOLOGIES LTD,NASDAQ,29.82,30.52,29.82
MYE,15.42,576434903.316505,MYERS INDUSTRIES INC,NYSE,15.42,15.39,15.42
SCCTY,71.515,8734291449.0,SCOUT24 AG-UNSPON ADR,OTC,71.515,71.515,71.515
IMYSF,34.01,2405449599.0,IMERYS SA,OTC,34.01,34.01,34.01
FIP,6.26,718406611.6265821,FTAI INFRASTRUCTURE INC,NASDAQ,6.26,6.3,6.26
STRA,80.22,1938375016.1875615,STRATEGIC EDUCATION INC,NASDAQ,80.22,80.56,80.22
DGII,33.71,1249518396.3393316,DIGI INTERNATIONAL INC,NASDAQ,33.71,34.72,33.71
DLO,10.98,3134516890.7999997,DLOCAL LTD,NASDAQ,10.98,11.37,10.98
UUUU,6.6,1430017909.21659,ENERGY FUELS INC,AMEX,6.6,6.34,6.6
CSQ,18.28,2933160000.0,CALAMOS STRAT TTL RTRN FND,NASDAQ,18.28,18.31,18.28
EVKIY,10.5885,8457899821.999999,EVONIK INDUSTRIES-UNSP ADR,OTC,10.5885,10.4,10.5885
PRIF.PRD,24.6,435000000.0,PRIORITY INCOME FUND - PRIORT 7 06/30/29,NYSE,24.6,24.6,24.6
